# Von situs verfasste deutsche Namen für EUNIS-Habitattypen der Level 1 bis 3.
#
# Diese Datei ist die Quelle für alle Zeilen mit provenance=situs: hier steht,
# was situs selbst übersetzt hat, und keine externe Quelle steht dahinter.
# pipelines/eurlex/merge.py führt sie mit den amtlichen EUR-Lex-Zeilen zu einer
# localizations.csv zusammen und setzt source auf situs@<version>.
#
# EINE ZEILE JE HABITATTYP, mit dem englischen Original daneben: nur so ist eine
# Übersetzung ohne Index-Abfrage prüfbar. name_en ist eine Kontrollspalte und
# wandert NICHT in den Index; die Zusammenführung verwirft sie.
#
# name_de   — treu am englischen Original, biogeografische Zusätze mitübersetzt.
#             Wer beide nebeneinander legt, muss die Zuordnung ohne Fachwissen
#             bestätigen können.
# vernacular_de — der etablierte deutsche Begriff. LEER, wo keiner denselben
#             Umfang trägt. Das ist überwiegend dort der Fall, wo der Typ in
#             Deutschland nicht vorkommt: für mediterrane, makaronesische und
#             Schwarzmeer-Varianten gibt es keinen etablierten deutschen
#             Begriff, weil sie im Deutschen nie benannt werden. Ein Begriff,
#             der weiter reicht als der Typ, ist eine falsche Gleichsetzung und
#             bleibt weg.
#
# EUNIS-Level 1 bis 3, und nur Typen OHNE '='-Crosswalk nach annex1 — wo eine
# Ableitung aus dem amtlichen Anhang-I-Namen existiert, wird nichts erfunden.
# Level 1 und 2 haben gar keinen '='-Crosswalk (gemessen: keiner der 49 Codes),
# und die Ableitung erreicht sie auch nicht — ohne diese Zeilen bliebe ein
# Gruppenknopf in der App auf Dauer englisch.
#
# Auf Level 1 und 2 steht vernacular_de nur dort, wo der etablierte Begriff
# denselben Umfang trägt UND ihn nicht schon ein Untertyp führt: 'Hochmoor'
# gehört Q11, deshalb bleibt Q1 ('Hoch- und Deckenmoore') ohne Volksnamen. Ein
# Volksname, der auf zwei Ebenen dasselbe meint, macht die Rückwärtssuche
# mehrdeutig.
#
# Gruppen in EUNIS-Reihenfolge: N Küste, Q Moore/Sümpfe, R Grasland,
# S Gebüsch/Heide, T Wald, U Fels/Geröll, V Kulturland. Je Gruppe zuerst der
# Level-1-Code, dann die Level-2-Codes, dann die Level-3-Codes.
code,name_en,name_de,vernacular_de
# --- N — Küste, Strände, Dünen (25) ---
N,"Coastal habitats","Küstenlebensräume",
N1,"Coastal dunes and sandy shores","Küstendünen und Sandufer",
N2,"Coastal shingle","Küstenkies",
N3,"Rock cliffs, ledges and shores, including the supralittoral","Felsklippen, Felsbänder und Felsufer einschließlich des Supralitorals",
N11,"Atlantic, Baltic and Arctic sand beach","Atlantischer, baltischer und arktischer Sandstrand",Sandstrand
N12,"Mediterranean and Black Sea sand beach","Mediterraner und Schwarzmeer-Sandstrand",
N13,"Atlantic and Baltic shifting coastal dune","Atlantische und baltische Wanderdüne der Küste",Weißdüne
N14,"Mediterranean, Macaronesian and Black Sea shifting coastal dune","Mediterrane, makaronesische und Schwarzmeer-Wanderdüne der Küste",
N15,"Atlantic and Baltic coastal dune grassland (grey dune)","Atlantischer und baltischer Küstendünen-Rasen (Graudüne)",Graudüne
N16,"Mediterranean and Macaronesian coastal dune grassland (grey dune)","Mediterraner und makaronesischer Küstendünen-Rasen (Graudüne)",
N17,"Black Sea coastal dune grassland (grey dune)","Schwarzmeer-Küstendünen-Rasen (Graudüne)",
N1A,"Atlantic and Baltic coastal dune scrub","Atlantisches und baltisches Küstendünen-Gebüsch",Dünengebüsch
N1B,"Mediterranean and Black Sea coastal dune scrub","Mediterranes und Schwarzmeer-Küstendünen-Gebüsch",
N1C,"Macaronesian coastal dune scrub","Makaronesisches Küstendünen-Gebüsch",
N1D,"Atlantic and Baltic broad-leaved coastal dune forest","Atlantischer und baltischer Laubwald der Küstendünen",
N1E,"Black Sea broad-leaved coastal dune forest","Schwarzmeer-Laubwald der Küstendünen",
N1F,"Baltic coniferous coastal dune forest","Baltischer Nadelwald der Küstendünen",
N1H,"Atlantic and Baltic moist and wet dune slack","Atlantische und baltische feuchte bis nasse Dünentäler",Dünental
N1J,"Mediterranean and Black Sea moist and wet dune slack","Mediterrane und Schwarzmeer-feuchte bis nasse Dünentäler",
N21,"Atlantic, Baltic and Arctic coastal shingle beach","Atlantischer, baltischer und arktischer Kiesstrand der Küste",Kiesstrand
N22,"Mediterranean and Black Sea coastal shingle beach","Mediterraner und Schwarzmeer-Kiesstrand der Küste",
